,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-10-12,32.58,32.86,39.63,46.17,182.38,53.28,37.89,31.11,22.73,50.16,38.18,47.83,179.79,35.48,35.21,44.18,14.11,28.62,14.28,93.6,24.38,41.75,24.04,66.89,14.01,31.23,116.41,63.36,27.53,27.98,34.12,45.57,47.5,38.79,17.73,36.59,25.19,24.07,21.38,16.15,7.17,12.42,78.93,49.53,61.94,43.21,30.82,58.08,43.4,14.92,5.72,7.1,16.75,62.09,41.85,49.14,22.03,40.13,25.14
2009-10-13,32.33,32.63,39.73,46.38,181.62,53.0,37.6,31.04,22.81,49.72,37.39,47.96,177.03,35.05,34.57,44.83,14.17,28.2,14.01,94.83,24.31,41.47,24.05,66.68,14.09,31.22,116.39,63.7,27.33,28.21,34.42,45.74,47.22,38.75,17.51,36.7,25.46,24.51,21.21,16.15,7.17,12.41,79.93,49.33,61.67,43.13,31.08,58.06,43.08,14.81,5.58,6.89,16.88,62.21,41.47,49.46,22.14,39.97,25.08
2009-10-14,32.25,32.87,40.55,46.93,182.84,53.89,38.3,31.53,22.95,49.61,39.53,48.86,181.8,35.05,35.01,44.69,14.55,28.56,14.5,97.46,24.98,42.07,24.07,68.4,14.09,32.14,117.61,64.89,28.5,29.25,35.06,47.36,48.81,39.08,18.28,36.6,25.51,24.37,21.21,15.84,7.21,12.55,80.37,49.37,62.54,43.13,30.96,59.18,44.19,15.12,5.49,7.03,16.95,63.61,42.83,49.85,22.59,40.19,25.45
2009-10-15,32.84,33.29,40.27,46.26,182.14,54.82,38.24,32.28,23.61,50.03,39.26,48.61,178.35,35.1,35.98,45.37,14.51,29.22,14.75,96.01,24.99,42.63,24.1,68.58,14.0,32.3,117.27,65.95,28.53,29.26,35.63,47.58,49.04,39.15,17.8,36.76,25.53,24.3,20.88,16.97,7.21,12.43,80.58,49.31,62.31,43.65,31.13,59.6,44.29,14.93,5.41,7.0,16.52,64.58,42.83,50.46,22.58,40.11,25.5
2009-10-16,32.96,32.74,40.23,47.54,179.74,54.48,37.19,32.22,23.42,49.77,40.22,48.07,174.33,35.32,36.47,45.61,13.9,28.88,14.84,95.32,24.98,42.16,24.14,67.91,13.99,30.84,111.46,66.06,27.3,28.86,35.34,47.72,48.86,38.71,16.97,35.6,25.3,24.27,20.43,16.62,6.98,12.29,79.14,49.48,62.78,43.91,30.22,59.98,44.63,14.78,5.14,6.93,16.81,64.74,41.83,50.96,22.26,39.91,25.45
2009-10-19,33.67,33.48,40.75,47.77,181.47,54.27,39.09,32.77,23.3,50.26,40.64,48.87,175.39,35.42,36.47,46.21,13.69,29.51,15.01,94.68,25.07,42.92,24.04,68.18,14.16,31.75,112.76,66.79,27.34,29.3,35.58,48.18,51.8,39.23,16.87,33.93,26.16,24.6,21.12,16.56,7.13,12.32,80.31,49.78,64.07,44.37,30.64,60.82,44.72,14.86,5.32,7.1,17.22,65.18,41.76,51.4,22.47,40.22,25.97
2009-10-20,33.56,33.18,39.36,46.37,189.98,53.86,39.69,32.53,23.31,50.18,41.57,48.35,174.88,35.4,36.19,46.04,13.47,29.11,14.97,94.98,24.82,43.02,23.73,67.85,14.09,31.36,112.54,66.24,27.7,28.66,35.51,48.0,53.38,39.52,16.73,33.32,26.09,24.01,21.25,16.93,7.26,12.49,78.78,50.08,59.91,44.08,30.36,59.87,44.97,14.85,5.33,7.16,17.17,64.65,41.81,51.08,22.34,39.12,25.86
2009-10-21,33.6,32.88,39.04,45.25,195.87,54.08,37.64,32.52,23.49,50.29,40.69,48.57,169.49,35.17,35.62,45.08,13.42,28.96,14.54,93.42,24.17,42.65,23.73,68.18,13.86,31.62,110.76,66.19,26.28,28.3,34.97,48.13,52.29,39.24,16.23,32.17,26.0,23.43,20.66,16.96,7.32,12.26,78.87,49.9,57.97,44.06,30.07,59.05,44.49,14.66,5.26,7.03,17.66,64.91,40.55,50.57,22.2,38.96,25.94
2009-10-22,33.58,34.13,40.46,45.64,196.13,53.79,37.24,32.48,23.5,53.16,40.03,48.35,173.68,35.57,35.68,44.95,13.26,29.26,14.66,93.45,24.56,43.06,23.76,70.38,14.23,31.72,112.42,66.47,27.43,28.82,35.44,48.34,52.98,40.03,16.24,34.19,26.62,23.79,21.45,16.94,7.3,12.5,79.89,50.46,59.57,44.05,30.86,59.98,44.58,14.93,5.22,7.31,17.67,65.91,41.51,51.59,22.41,39.28,26.11
2009-10-23,32.97,32.39,40.12,44.59,194.93,53.38,35.41,31.47,24.77,51.88,39.99,48.3,170.53,34.83,35.28,44.91,13.14,28.91,14.4,118.49,24.31,42.8,23.36,69.52,13.81,31.53,110.29,65.94,26.66,28.12,34.9,47.91,51.95,39.08,15.95,32.06,25.61,23.39,21.11,17.41,7.18,12.28,77.66,50.03,60.08,43.66,30.34,58.96,44.81,14.97,4.99,7.17,17.22,65.14,41.08,51.53,22.4,39.02,26.12
2009-10-26,32.19,32.67,39.76,43.16,193.53,52.89,35.32,31.52,25.35,51.79,39.75,47.56,169.6,34.69,35.14,44.38,12.97,29.16,14.3,124.64,24.3,42.07,23.36,68.62,13.61,30.63,110.06,64.89,25.87,27.44,34.28,46.9,51.47,38.96,15.14,29.87,25.57,23.23,21.29,17.07,7.03,12.07,78.25,49.39,59.48,43.88,30.88,58.39,44.16,14.87,5.01,7.07,16.87,64.84,39.8,51.33,21.96,39.79,25.69
2009-10-27,32.61,33.67,39.77,42.67,188.65,53.35,34.78,31.96,25.27,51.84,38.5,47.75,168.88,34.89,34.06,44.41,12.9,29.22,14.41,122.07,23.15,42.9,23.46,67.89,13.49,30.95,110.55,65.87,25.82,27.66,33.84,47.21,51.13,38.12,15.19,28.03,25.28,23.15,21.38,16.33,6.9,12.05,79.15,49.63,58.27,43.86,32.38,58.23,43.64,14.79,5.01,7.03,16.69,66.33,39.87,51.17,21.81,39.99,25.73
2009-10-28,31.7,32.47,39.42,42.2,183.9,53.34,32.96,31.76,24.77,51.42,36.85,43.03,162.78,34.81,33.51,44.43,12.46,28.63,14.37,121.64,22.15,42.57,23.48,66.51,13.43,30.66,111.33,65.26,24.97,27.16,33.44,46.21,49.09,37.25,14.76,29.12,24.61,22.44,21.16,15.75,6.55,11.68,77.73,49.68,56.86,43.48,31.65,56.92,43.3,14.11,5.0,6.82,16.04,65.38,38.76,50.84,21.33,39.59,25.36
2009-10-29,32.88,34.13,39.64,43.62,187.67,53.69,33.95,32.38,24.94,52.01,37.49,43.87,168.85,35.38,34.69,44.88,12.85,30.54,14.65,122.58,23.25,43.24,23.74,67.43,13.76,30.62,112.59,67.04,25.98,27.9,34.19,47.2,51.63,38.58,15.47,29.87,25.52,23.07,21.59,15.95,6.87,12.27,80.08,51.68,57.83,44.69,32.21,56.35,44.61,14.45,5.47,7.02,16.13,65.48,40.28,51.28,21.79,39.74,26.53
2009-10-30,32.15,32.63,39.13,42.72,180.17,52.96,33.14,32.19,24.51,51.53,36.45,42.25,160.9,35.24,34.18,44.24,12.32,29.39,14.22,118.81,22.4,42.85,23.39,65.72,13.3,29.7,110.52,65.82,25.02,26.93,33.15,45.37,49.66,37.66,14.34,27.71,25.06,22.34,21.17,15.24,6.59,12.01,78.89,50.35,57.25,44.83,30.82,55.51,43.79,13.98,5.31,6.84,15.9,63.46,37.94,50.82,21.14,39.39,25.86
2009-11-02,32.02,33.42,39.52,43.14,180.95,53.0,33.49,31.83,24.64,52.86,36.56,42.93,161.38,35.27,34.97,44.77,12.51,28.9,14.15,118.84,22.37,43.16,23.57,66.35,13.31,29.36,110.47,65.91,25.11,27.31,33.58,45.62,50.05,37.78,14.39,28.28,25.08,22.31,21.17,14.95,7.14,12.17,79.12,51.17,57.32,45.01,31.01,55.79,44.44,13.97,5.41,6.82,15.85,63.88,38.67,51.29,21.31,39.72,25.88
2009-11-03,32.51,33.76,39.54,42.99,180.41,52.53,34.92,31.62,24.33,52.24,37.37,43.49,162.26,34.75,34.73,44.43,12.38,29.01,14.1,118.37,22.67,43.0,23.31,66.16,13.31,29.22,111.02,65.96,25.22,27.55,33.27,45.93,50.92,37.74,14.55,32.32,25.09,22.26,21.19,15.12,7.0,12.56,79.07,50.85,57.76,44.46,30.99,55.37,43.84,14.11,5.39,6.88,15.7,63.52,38.78,51.36,21.23,39.38,25.6
2009-11-04,32.83,33.68,39.95,43.34,182.38,52.81,34.19,31.9,24.8,52.79,37.02,43.38,160.27,35.1,35.67,44.86,12.26,28.69,14.27,117.1,22.65,43.09,23.47,66.17,12.89,29.76,111.14,65.6,24.43,27.24,33.95,46.46,50.7,37.53,14.46,29.83,25.04,22.22,21.28,14.91,6.84,12.33,79.46,51.24,58.59,45.06,31.32,56.52,44.07,14.1,5.28,7.21,15.69,63.13,38.34,52.27,21.58,39.66,25.75
2009-11-05,33.28,35.35,40.69,44.87,185.46,53.55,34.84,32.03,25.16,53.55,38.03,43.95,163.95,35.67,36.2,45.66,12.47,28.73,14.35,120.61,23.32,43.37,23.87,67.41,13.02,29.8,112.8,66.43,24.86,28.25,27.11,47.26,52.3,37.49,14.88,32.37,25.9,22.82,21.83,14.92,7.01,12.89,80.58,52.49,60.64,45.43,31.17,57.89,45.07,14.42,5.43,7.23,15.9,64.19,39.84,53.3,22.17,40.66,25.5
2009-11-06,33.38,34.85,41.11,44.79,185.75,54.01,34.55,32.07,25.21,53.68,37.98,43.59,162.42,35.79,35.75,45.64,13.25,28.87,14.3,126.2,23.36,43.55,23.91,67.36,13.38,29.52,113.66,66.67,24.71,28.25,27.98,47.13,51.95,37.82,14.8,29.24,25.8,23.22,21.7,14.68,7.3,12.93,78.16,52.98,61.39,45.4,31.01,58.06,45.36,14.37,5.4,7.22,15.94,64.26,39.49,53.51,22.07,41.15,25.55
2009-11-09,33.86,36.58,41.63,46.3,192.56,54.47,35.66,32.75,25.62,54.01,39.12,44.03,166.95,36.4,36.17,46.3,13.7,29.49,14.69,126.67,24.03,44.19,24.35,68.96,13.89,30.5,115.97,66.79,25.87,29.29,29.02,48.44,54.11,38.27,15.51,29.82,26.32,23.87,22.23,14.72,7.7,13.32,79.12,53.69,62.91,45.81,31.85,59.59,46.12,15.03,5.53,7.35,16.02,64.88,40.28,54.31,22.23,42.37,26.16
2009-11-10,34.32,37.17,41.79,45.37,194.01,54.29,35.65,32.73,25.64,54.15,39.19,43.81,166.89,36.51,35.77,46.58,13.64,29.23,14.8,130.15,24.05,44.31,24.49,69.67,13.62,30.48,116.81,67.37,25.6,28.91,28.04,48.6,54.08,38.1,15.76,30.98,26.37,23.88,22.61,14.68,7.76,13.24,76.4,53.7,62.09,45.94,31.66,58.92,46.1,14.9,5.57,7.14,16.04,64.66,40.12,54.0,21.91,42.39,26.37
2009-11-11,34.05,37.51,42.22,45.69,194.27,54.75,35.4,32.64,25.74,53.93,39.99,44.52,170.05,36.62,35.56,47.17,13.68,29.0,14.85,129.91,24.31,44.1,24.63,69.64,13.85,30.57,117.07,67.52,26.24,29.21,28.17,48.81,54.17,38.3,16.16,30.29,26.55,24.31,22.87,14.82,7.84,13.03,76.79,54.02,62.48,45.87,32.08,59.29,46.13,15.08,5.72,7.18,16.09,64.93,40.25,54.47,22.16,43.07,26.37
2009-11-12,33.45,37.0,41.97,45.33,193.07,53.59,35.41,32.82,25.95,53.57,38.87,44.17,168.76,36.08,35.47,47.41,13.61,28.24,14.85,130.53,23.9,43.55,24.55,68.97,14.06,30.54,116.21,66.58,25.71,29.01,27.86,47.98,52.82,37.56,15.79,29.88,26.24,24.25,22.9,14.45,7.72,12.89,77.72,53.21,61.67,46.07,31.83,59.06,45.86,14.95,5.63,7.15,16.0,64.03,39.33,53.9,21.68,42.91,26.13
2009-11-13,33.84,37.79,42.37,45.69,195.42,54.17,35.64,32.8,26.19,53.96,39.17,44.89,167.13,36.52,35.7,47.37,13.53,28.35,14.83,132.97,24.1,43.91,24.78,69.07,14.15,30.75,116.92,67.03,25.22,29.38,28.41,48.7,53.01,37.99,15.71,29.99,26.58,24.34,22.96,14.49,7.92,13.18,78.25,53.48,63.31,46.42,32.03,59.91,46.05,14.9,5.19,7.15,15.93,64.54,38.96,55.13,21.97,43.42,26.27
2009-11-16,34.49,38.81,43.04,47.31,197.5,54.6,36.0,33.17,26.11,54.63,39.67,45.66,167.59,36.93,35.72,47.34,13.83,28.63,15.12,131.59,24.78,44.57,24.9,69.69,14.54,31.32,118.01,68.2,25.7,29.92,28.35,49.43,54.47,38.33,15.61,29.46,26.91,24.61,23.42,14.5,8.2,13.74,80.2,54.05,64.07,46.44,32.37,60.38,46.88,15.44,5.38,7.29,16.07,66.28,39.09,55.95,22.12,44.01,26.82
2009-11-17,34.39,38.74,43.39,47.36,197.85,54.75,35.58,33.11,26.63,55.0,39.0,45.81,166.98,37.12,35.67,47.78,13.85,28.45,15.12,131.25,24.54,44.13,24.96,70.37,14.22,30.95,118.4,68.37,25.84,30.22,28.59,49.26,54.01,38.91,15.51,29.75,27.08,24.03,23.35,14.34,8.45,13.73,80.31,54.09,63.51,46.45,32.11,60.14,47.35,15.43,5.48,7.27,16.05,66.82,39.2,55.12,22.32,44.02,26.88
2009-11-18,34.32,38.94,43.56,46.9,196.86,54.49,36.03,33.05,26.73,54.88,39.12,45.71,167.26,38.48,35.41,48.22,13.91,28.25,15.33,131.29,24.2,44.32,24.83,69.95,13.87,30.91,117.95,68.47,26.29,30.19,28.82,49.26,53.58,38.63,16.08,29.8,27.31,24.29,23.24,14.29,8.42,13.68,79.39,54.17,62.72,46.4,31.62,59.61,46.58,15.54,5.36,7.23,15.98,67.03,39.4,55.47,22.24,43.62,26.69
2009-11-19,33.67,38.53,43.06,46.37,191.65,54.12,34.54,32.83,26.44,54.56,38.16,44.98,163.41,37.83,35.38,48.57,13.62,26.98,15.27,128.99,23.67,43.96,24.96,69.46,13.79,30.31,117.39,67.1,25.8,29.63,29.19,48.69,52.86,37.11,15.81,29.39,26.87,24.13,22.46,13.89,8.22,13.56,77.51,53.95,62.65,46.08,30.32,58.76,45.97,15.35,5.13,7.08,15.61,66.48,38.64,54.98,21.94,42.82,26.3
2009-11-20,33.36,38.34,43.72,46.61,191.09,54.29,33.42,32.87,26.3,54.56,37.2,44.55,160.75,37.63,35.33,48.33,13.47,26.8,15.48,129.66,23.43,43.82,25.22,68.91,13.76,30.3,116.86,66.6,25.39,29.55,29.72,48.01,52.26,38.03,15.82,28.93,26.32,24.2,22.33,13.99,8.13,13.44,76.97,53.64,63.33,46.2,30.42,58.84,46.17,13.82,5.31,7.13,15.38,66.24,38.56,55.46,21.74,43.21,26.19
2009-11-23,33.55,38.99,44.45,47.45,196.78,54.65,33.33,33.36,26.58,55.34,37.92,45.16,162.63,37.9,35.74,48.69,13.85,27.31,15.62,133.0,23.54,45.16,25.56,69.89,13.84,31.07,118.0,68.31,25.57,29.77,29.95,49.19,52.44,38.37,16.02,29.07,26.71,24.49,22.69,13.78,8.22,13.28,77.48,54.45,64.32,46.86,30.57,59.77,47.08,14.31,5.34,7.22,15.45,67.41,39.31,55.48,22.15,44.04,26.57
2009-11-24,33.75,38.81,44.64,46.85,195.41,54.66,32.76,33.47,26.55,55.41,37.56,44.71,161.81,38.12,35.72,48.84,13.93,26.62,15.44,132.94,22.91,45.61,25.54,69.78,13.87,31.07,117.75,68.56,25.38,29.69,29.68,49.58,52.31,37.64,15.83,28.84,26.32,24.53,22.82,13.6,8.29,13.27,76.05,54.51,64.55,46.89,30.21,59.6,46.31,13.85,5.16,7.21,15.24,67.66,38.58,55.68,22.0,43.96,26.67
2009-11-25,33.89,39.08,44.96,47.72,195.17,55.26,32.66,33.94,26.45,55.62,37.6,45.44,159.72,37.85,35.57,48.94,13.98,27.46,15.67,134.03,23.25,46.07,25.5,70.05,13.82,31.74,117.15,69.09,25.35,30.1,29.61,49.96,53.25,38.33,15.68,28.58,26.21,24.79,22.95,13.89,8.29,13.42,77.86,54.57,65.41,46.67,31.6,60.31,46.18,13.89,5.13,7.2,15.3,68.1,38.29,55.88,22.0,44.26,26.8
2009-11-27,33.26,38.25,44.62,47.29,191.73,54.49,32.18,33.45,25.94,55.24,36.7,44.57,155.22,37.48,35.37,48.65,13.78,26.68,15.38,131.74,22.65,45.68,25.27,69.01,13.65,30.91,115.7,67.82,24.72,29.46,29.3,48.61,51.81,37.28,15.21,27.44,25.82,24.58,22.79,13.59,8.22,13.15,77.02,54.23,64.68,46.07,30.89,59.38,45.28,13.68,5.22,7.09,15.0,66.68,37.54,55.62,21.66,43.55,26.14
2009-11-30,33.16,39.18,44.53,47.25,191.08,54.42,33.01,32.83,26.11,55.59,36.64,44.67,160.76,37.73,35.26,48.57,13.85,26.69,15.32,135.91,23.06,45.86,25.28,69.63,13.44,30.54,116.3,67.7,25.54,29.61,29.12,48.22,52.66,38.22,15.59,23.4,25.71,24.36,22.83,13.5,8.37,13.14,78.54,54.12,64.79,46.06,30.84,58.34,45.27,13.66,5.49,7.01,14.97,66.85,38.59,55.31,21.68,43.39,26.11
2009-12-01,33.48,38.68,44.77,48.43,188.27,55.86,34.66,33.57,26.64,56.3,37.19,44.97,158.84,38.43,35.69,48.75,13.98,27.44,15.89,138.5,23.1,46.32,25.67,70.7,13.72,31.63,117.76,68.59,25.5,30.06,29.28,49.27,53.82,39.26,15.64,25.42,26.12,25.13,23.42,13.66,8.36,13.21,81.45,54.61,66.22,46.4,32.21,59.44,45.76,13.39,5.69,7.13,15.13,67.72,38.35,55.56,22.16,43.75,26.91
2009-12-02,33.21,38.44,44.85,48.49,187.56,56.06,32.42,33.55,26.44,56.79,37.44,43.26,157.92,38.68,34.63,48.59,13.89,27.0,15.8,142.25,23.01,46.0,25.62,70.5,13.7,31.98,117.09,68.3,25.01,30.3,29.22,49.43,53.16,38.63,15.4,25.7,25.86,25.43,23.43,13.6,8.48,13.03,81.98,54.85,65.6,46.43,32.9,59.39,45.19,13.21,5.56,7.1,15.31,67.5,38.08,54.66,22.12,43.76,27.09
2009-12-03,32.78,36.41,44.54,48.48,187.8,55.28,32.88,33.59,26.48,56.14,36.87,43.18,155.68,38.38,34.27,48.48,13.83,27.98,15.71,141.17,23.15,46.01,25.31,69.37,14.59,31.79,117.4,67.63,24.13,29.83,28.93,49.36,52.49,39.67,15.51,24.63,26.04,25.07,23.87,13.56,8.42,13.03,84.59,54.3,64.99,46.19,33.45,59.12,45.17,13.02,5.53,7.06,15.11,66.78,37.6,54.19,22.08,43.48,27.14
2009-12-04,32.45,36.81,45.5,49.3,184.78,56.24,32.76,33.84,26.62,56.0,38.44,42.95,158.47,38.19,34.32,48.3,14.0,28.52,15.59,137.58,24.36,45.82,25.41,70.35,14.79,31.68,117.13,67.73,24.56,27.7,28.89,49.41,52.58,41.04,16.02,24.82,26.29,25.2,24.24,13.94,8.42,13.1,84.3,54.34,65.62,46.39,34.13,59.79,45.94,13.02,5.57,7.2,15.19,66.12,37.91,53.86,22.39,44.25,27.08
2009-12-07,32.55,36.91,45.62,50.33,180.6,56.57,33.15,33.75,26.45,55.43,37.99,42.35,155.25,37.19,34.16,48.91,13.9,28.45,15.22,134.21,24.01,45.78,25.58,70.05,15.84,31.2,116.93,67.82,24.01,27.75,28.97,49.33,51.91,41.33,15.64,24.86,26.22,25.33,24.03,13.89,8.39,13.4,82.9,54.23,66.0,46.33,33.61,60.09,45.41,12.86,5.5,7.19,15.45,65.7,37.46,54.16,22.43,44.42,27.0
2009-12-08,31.99,36.65,45.25,50.18,181.48,55.91,34.32,33.29,26.25,55.19,37.57,41.5,153.35,36.75,33.62,48.45,13.59,28.67,14.97,134.11,24.11,45.64,25.49,69.33,15.92,31.16,116.71,66.59,23.71,27.09,28.7,48.26,50.85,41.28,15.16,24.72,25.65,24.84,23.77,13.76,8.3,13.42,83.6,53.7,65.15,46.1,33.62,60.04,45.16,12.39,5.59,7.1,15.45,64.97,37.43,53.0,22.06,43.55,26.3
2009-12-09,32.17,37.35,44.77,50.01,189.06,54.43,34.23,32.92,26.38,54.52,37.62,41.57,157.71,36.97,34.66,48.39,13.53,28.43,15.38,131.31,24.0,45.1,25.56,71.69,16.08,31.17,118.17,66.85,23.65,27.05,29.14,48.25,50.67,41.29,15.14,24.44,26.25,24.73,23.46,13.82,8.34,13.56,84.02,54.03,63.26,46.25,33.52,60.11,46.09,12.68,5.38,7.19,15.18,64.82,37.41,52.99,22.11,43.07,26.36
2009-12-10,32.6,37.68,45.14,49.6,187.75,54.47,34.56,33.29,26.52,54.93,37.58,41.32,157.98,37.11,34.76,48.94,13.49,28.34,15.44,135.38,24.23,44.67,25.89,72.54,16.12,31.32,119.05,67.17,23.07,27.33,29.58,48.54,51.35,42.2,14.97,23.84,27.35,25.12,23.42,14.23,8.52,13.73,83.42,54.03,63.74,46.42,33.24,60.21,46.26,12.8,5.22,7.17,15.49,64.48,37.48,53.39,22.18,43.38,26.82
2009-12-11,32.62,38.15,45.58,50.13,186.07,53.97,34.28,33.44,26.5,55.02,37.69,41.79,157.29,37.61,35.18,48.91,13.76,29.0,15.43,134.15,24.28,44.4,26.12,73.5,16.18,30.97,119.36,67.46,23.15,27.6,30.26,48.74,51.87,42.18,15.38,23.38,27.46,25.57,23.15,14.11,8.47,13.69,84.34,54.11,64.42,47.04,33.69,61.09,46.18,12.69,5.13,7.22,15.74,64.86,37.2,53.92,22.03,43.67,27.06
2009-12-14,32.73,38.66,46.18,50.53,188.28,53.71,36.03,33.97,26.73,55.29,38.86,42.39,157.39,37.86,34.64,48.39,13.79,29.3,15.51,131.38,24.85,44.71,26.09,73.65,16.11,31.18,119.59,67.03,23.22,28.0,30.39,48.91,52.58,42.33,15.38,23.97,27.32,25.91,23.45,14.26,8.55,13.64,83.49,54.69,65.29,46.93,33.85,62.55,46.84,12.75,4.98,7.48,15.81,62.06,37.94,54.34,22.09,44.84,27.19
2009-12-15,32.45,38.36,46.1,50.19,185.59,53.72,35.58,33.91,26.65,55.27,38.87,41.75,154.2,37.87,34.32,48.31,13.61,28.99,15.42,130.23,24.93,44.34,26.1,74.36,16.11,31.1,118.27,67.12,23.38,27.57,29.83,48.74,52.49,41.91,14.95,23.84,27.07,26.05,22.96,14.24,8.84,13.64,83.19,53.92,65.11,46.53,33.93,61.68,47.12,13.07,5.01,7.61,15.74,61.6,37.11,54.22,21.76,44.19,27.3
2009-12-16,32.58,38.65,45.82,49.7,186.41,53.45,35.4,33.94,26.72,55.23,38.74,42.61,156.33,37.92,34.67,47.72,13.56,29.01,15.52,128.36,25.01,44.66,25.82,73.48,16.06,31.54,118.47,67.57,23.54,27.97,29.05,49.23,52.52,41.85,15.03,23.86,26.98,25.99,23.09,14.19,8.93,13.64,84.13,53.96,64.99,46.23,33.99,61.48,47.46,13.25,5.37,7.65,15.79,60.94,37.56,54.59,21.73,44.05,27.36
2009-12-17,32.16,37.89,45.39,49.11,183.38,52.88,34.75,33.21,26.28,54.49,38.67,41.97,152.49,37.14,33.82,47.22,13.65,28.58,15.36,126.91,24.94,44.46,25.18,72.35,15.69,30.87,117.26,66.61,23.75,27.41,29.3,47.99,51.89,41.25,14.62,23.25,26.49,25.85,22.64,14.17,8.84,13.55,83.11,53.46,63.83,45.68,33.52,60.65,46.73,13.29,5.09,7.67,15.82,60.75,36.57,54.15,21.48,43.87,26.87
2009-12-18,31.9,37.94,45.33,48.18,186.8,52.39,35.18,33.09,26.95,53.85,38.92,43.25,154.63,37.03,33.22,47.3,13.47,28.64,15.43,128.48,25.1,44.71,25.16,72.8,15.81,31.46,117.73,66.72,24.4,27.29,29.28,47.32,51.58,41.35,14.79,23.23,26.45,25.72,22.98,14.17,9.11,13.57,82.92,53.43,64.05,45.79,33.76,60.41,47.59,13.29,5.14,7.62,16.14,60.74,37.19,54.37,21.62,44.12,26.94
2009-12-21,32.41,38.42,45.77,48.96,189.47,53.27,35.51,33.11,27.1,54.83,39.74,43.67,156.77,37.3,33.19,47.79,13.46,28.58,15.69,132.79,25.16,44.38,25.27,73.21,15.93,31.43,118.41,67.24,24.91,27.53,30.33,48.53,51.95,41.11,15.03,23.12,27.27,25.99,23.33,14.52,9.1,13.72,82.36,53.21,63.99,45.7,33.29,60.72,48.05,13.65,5.24,7.72,15.88,61.01,38.05,54.8,21.9,44.5,27.16
2009-12-22,32.57,38.8,45.41,49.68,191.51,53.4,38.56,33.49,27.36,54.61,39.07,43.55,155.96,37.3,33.52,47.74,13.38,29.13,15.69,133.75,25.06,44.72,25.31,73.69,15.77,31.71,119.59,67.23,24.74,28.0,30.34,49.31,52.21,41.68,15.08,25.59,26.52,26.29,23.15,14.47,9.32,13.6,83.41,53.21,63.47,46.29,33.58,60.37,48.48,13.65,5.16,7.81,15.98,61.07,38.09,55.07,22.01,44.43,27.58
2009-12-23,32.34,38.6,44.94,49.55,193.17,53.45,40.09,33.32,27.45,54.62,39.16,43.69,155.05,37.39,33.94,47.72,13.41,29.36,15.66,138.94,25.08,45.04,25.32,73.9,15.69,31.94,119.66,66.84,24.46,28.31,30.14,49.77,52.6,41.93,14.95,24.24,26.36,26.03,22.86,14.36,9.49,13.5,83.75,53.22,63.12,46.69,33.77,60.37,48.51,13.87,5.2,7.78,16.67,60.79,37.75,55.41,22.03,44.24,27.52
2009-12-24,32.59,39.04,45.15,50.02,199.8,53.69,40.62,33.48,27.52,54.42,39.28,43.73,155.37,37.26,33.98,47.97,13.43,29.31,15.68,138.47,25.04,45.23,25.39,74.22,15.75,32.07,120.18,67.18,24.68,28.62,30.18,50.16,52.61,43.84,15.01,24.82,26.3,26.18,23.32,14.49,9.54,13.7,84.91,53.19,63.01,47.3,33.84,60.5,48.86,14.31,5.1,7.87,16.72,61.15,38.05,55.46,22.2,44.37,27.62
2009-12-28,32.77,38.45,45.62,49.71,202.26,53.87,39.7,33.62,27.67,54.74,38.81,44.11,155.17,37.17,33.82,48.31,13.34,29.58,15.71,139.31,24.97,45.16,25.39,75.03,15.65,32.48,121.78,67.47,24.37,28.86,30.42,50.53,52.77,43.12,15.04,25.96,26.25,26.19,23.01,14.28,9.6,13.66,84.55,53.17,63.51,47.27,34.11,60.7,48.76,14.12,5.05,7.72,16.88,61.52,37.89,55.63,22.31,45.0,27.8
2009-12-29,32.54,38.29,45.56,49.78,199.86,53.82,39.7,33.6,27.87,54.76,38.63,44.09,155.51,37.13,33.75,48.43,13.43,29.35,15.65,139.41,25.11,45.26,25.52,75.64,15.66,32.43,121.36,66.98,24.3,29.02,30.66,50.46,52.47,42.69,14.88,26.09,26.45,26.27,22.9,14.27,9.52,13.68,85.06,53.45,64.32,47.29,34.19,60.68,48.58,13.85,4.96,7.85,16.92,61.31,37.68,55.61,22.33,45.0,27.8
2009-12-30,32.66,38.21,45.36,49.55,202.29,54.0,39.48,33.64,27.49,54.75,38.17,44.24,157.95,37.13,33.66,48.6,13.35,29.3,15.6,136.49,24.78,45.07,25.49,75.44,15.65,31.99,122.02,67.37,24.43,29.16,30.72,50.19,52.35,42.62,14.83,25.22,26.27,26.15,23.45,14.32,9.4,13.68,84.41,53.27,63.86,47.3,33.79,60.82,48.92,14.31,4.96,7.92,16.98,61.24,37.72,55.0,22.41,45.0,27.63
