,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-04-27,25.49,22.41,38.3,34.6,119.22,42.26,36.16,24.06,17.82,40.91,22.8,36.61,113.77,26.3,26.21,42.73,10.3,26.31,11.03,83.12,18.77,30.08,18.23,50.42,12.5,21.9,90.69,55.16,18.39,22.65,27.98,36.46,29.53,29.94,8.76,23.08,17.6,22.64,15.52,17.2,4.81,8.34,78.15,42.71,64.03,33.16,27.52,44.83,32.58,10.73,5.27,5.05,13.89,57.85,29.69,46.45,17.02,37.66,15.64
2009-04-28,25.29,22.33,38.3,34.06,118.43,43.06,35.07,23.31,17.41,41.11,22.43,37.02,113.56,26.13,26.88,42.69,10.23,25.77,10.95,82.4,18.41,30.59,18.25,49.72,12.89,21.85,92.49,55.65,17.64,22.66,28.79,36.82,28.99,29.31,8.0,22.09,17.85,22.81,15.2,17.26,4.89,8.14,76.5,42.47,63.26,33.55,27.51,44.25,32.55,10.52,5.33,5.13,13.64,58.68,29.7,46.48,17.3,37.25,15.96
2009-04-29,25.79,23.07,39.35,35.55,119.61,43.41,36.96,23.84,17.69,40.92,23.27,35.3,119.68,26.45,27.9,44.44,10.41,26.14,10.98,79.79,20.25,31.29,18.43,50.57,13.85,23.08,94.4,56.97,18.09,23.08,28.8,37.41,29.79,29.63,8.52,23.24,18.02,23.04,15.54,16.99,5.13,8.78,77.89,43.09,64.86,33.82,27.97,46.63,33.5,10.88,5.49,5.31,14.02,59.87,31.23,46.38,17.84,37.53,16.41
2009-04-30,25.47,23.32,38.56,35.11,120.27,42.82,37.8,23.77,17.69,40.53,24.51,34.96,120.93,26.14,28.16,44.39,10.78,25.86,10.92,80.52,20.89,31.27,18.58,50.64,14.05,23.1,93.65,55.74,18.12,22.98,29.72,36.51,31.46,30.21,8.77,22.75,17.9,23.02,16.15,16.45,5.63,8.88,78.72,42.25,64.41,36.05,28.92,45.17,33.07,11.24,5.42,5.5,14.29,58.32,29.89,45.42,17.9,37.32,16.11
2009-05-01,26.41,22.46,38.93,36.12,121.62,42.85,40.19,23.65,17.68,41.03,25.4,34.45,119.59,27.2,28.25,44.09,10.81,26.41,11.1,78.96,20.08,31.24,18.33,50.88,14.86,23.12,94.92,56.39,17.76,22.95,30.17,37.82,32.95,32.04,8.54,22.75,18.73,22.54,16.05,17.12,5.36,9.04,78.73,42.3,66.92,37.15,29.12,45.8,33.57,11.46,5.48,5.8,14.14,59.5,29.43,44.67,18.14,38.08,16.19
2009-05-04,27.26,25.23,40.04,36.97,126.23,42.25,42.65,23.91,17.63,41.51,26.57,35.83,126.25,27.58,28.24,44.78,11.16,27.23,11.43,79.77,21.27,31.82,18.63,51.41,15.13,23.55,96.35,56.23,21.96,24.21,29.95,38.91,34.03,32.83,10.19,24.06,20.04,22.93,16.41,18.12,5.53,9.4,81.14,43.58,65.9,37.89,30.13,47.21,34.14,11.88,5.78,5.9,14.18,59.66,32.42,44.98,18.07,38.57,17.07
2009-05-05,26.69,24.57,40.52,37.82,126.85,42.79,42.0,23.61,17.28,41.17,26.16,35.32,127.23,27.27,28.15,44.45,11.16,27.25,11.67,81.9,21.56,31.09,18.62,51.37,14.76,23.33,96.04,55.45,21.07,23.94,29.74,38.54,34.85,32.87,10.64,28.51,19.96,22.91,15.97,18.14,5.51,9.34,81.78,42.55,65.35,37.15,30.17,46.88,33.82,11.47,5.82,5.87,14.74,59.18,31.54,45.31,18.19,38.55,16.6
2009-05-06,27.48,25.1,40.59,39.13,126.65,42.79,43.42,23.99,17.28,42.05,27.12,35.08,131.01,27.18,27.97,43.61,11.65,27.74,11.5,81.99,21.5,31.84,18.53,51.99,14.54,23.56,95.42,57.44,24.36,23.69,29.89,39.27,35.37,33.52,12.46,30.33,20.47,22.78,16.37,18.78,5.89,9.49,83.07,43.45,66.01,36.81,30.73,47.42,33.39,11.5,5.93,6.02,14.85,59.99,33.71,45.76,18.17,38.75,16.79
2009-05-07,27.18,24.01,40.47,38.53,123.36,42.59,40.91,23.76,16.87,42.65,26.14,34.41,125.85,27.41,27.35,43.95,11.9,27.25,11.71,79.28,20.34,31.58,18.47,51.67,14.25,23.68,93.57,57.33,22.47,22.99,29.73,39.51,33.53,33.59,13.27,32.14,20.29,22.4,15.72,18.14,5.7,9.91,79.79,43.88,65.35,36.51,29.91,46.91,31.74,10.71,6.17,5.93,14.8,60.3,31.92,45.51,17.56,37.69,18.3
2009-05-08,29.15,26.26,41.15,40.57,123.48,42.81,41.25,23.88,16.96,42.85,26.5,36.03,131.36,27.39,28.13,44.17,12.38,27.94,11.9,77.95,21.21,31.64,18.52,52.83,14.31,24.25,92.57,59.35,25.58,23.37,30.04,41.23,35.05,34.84,13.91,33.13,20.66,22.31,15.47,19.32,5.87,10.07,78.73,44.07,67.63,36.67,29.75,48.86,31.87,10.46,6.84,6.02,15.15,61.94,35.27,46.81,17.36,39.01,18.61
2009-05-11,28.04,24.08,40.63,39.59,123.85,42.67,40.29,23.91,16.87,42.6,24.18,36.66,127.78,27.55,27.88,44.6,12.09,26.95,11.7,78.61,20.73,31.29,18.45,51.97,14.0,24.02,93.85,57.35,24.08,22.75,30.48,40.61,33.98,33.8,12.71,31.32,19.98,21.81,15.43,18.09,5.72,10.01,76.36,43.05,65.9,36.74,29.16,47.33,32.2,10.66,6.67,5.84,15.54,60.96,32.45,46.37,17.24,38.04,18.46
2009-05-12,28.25,23.53,40.81,39.04,118.92,42.4,40.35,24.73,17.37,42.8,24.21,36.73,127.43,28.11,28.17,44.83,11.66,26.84,12.34,77.93,20.12,31.86,19.16,52.34,13.81,24.09,94.8,58.35,23.33,23.15,30.84,41.4,33.66,34.83,12.04,29.83,19.37,21.55,15.05,17.52,4.72,9.68,76.62,43.53,66.94,36.94,29.4,48.35,32.16,10.84,6.57,5.51,15.1,62.32,32.03,46.0,17.35,38.13,19.19
2009-05-13,27.71,22.28,40.24,38.02,114.21,42.73,36.5,24.5,17.25,42.5,22.7,36.95,121.64,28.41,27.02,44.31,11.0,25.85,12.62,74.19,18.86,32.85,18.83,50.06,13.59,24.64,93.27,57.43,21.96,22.26,29.88,40.69,31.91,33.4,10.81,26.37,20.02,21.72,15.26,17.12,4.67,9.31,73.13,43.55,66.05,36.49,28.31,48.35,31.44,10.58,6.25,5.36,14.52,61.4,30.84,45.59,16.73,37.34,19.38
2009-05-14,27.8,22.86,40.09,38.45,117.52,43.78,37.44,24.86,17.52,41.68,23.26,37.21,125.73,28.1,27.01,43.48,11.11,26.26,12.68,75.11,19.16,33.08,19.38,50.94,13.5,24.52,92.16,57.22,23.32,22.54,29.87,40.52,31.9,33.16,11.11,30.33,19.75,21.46,15.68,17.65,4.86,9.3,73.11,43.42,66.33,37.16,28.42,48.82,32.1,10.57,6.25,5.69,14.76,61.39,32.19,45.66,16.76,37.69,19.49
2009-05-15,27.3,22.41,39.28,38.06,117.01,43.3,36.58,24.56,17.66,41.64,23.36,36.63,126.48,28.13,26.68,42.64,10.96,26.48,12.41,73.6,19.13,32.36,19.4,50.92,13.1,23.95,92.46,56.09,22.57,22.51,28.8,40.02,31.6,34.14,10.48,28.35,19.28,21.34,15.76,17.28,5.17,9.51,73.99,43.3,65.56,36.97,28.39,48.09,32.18,10.62,6.32,5.61,14.91,60.82,31.62,45.57,16.6,37.11,19.26
2009-05-18,28.28,24.16,38.47,39.28,121.05,44.03,40.42,25.03,17.99,42.92,23.92,38.08,134.71,28.56,27.51,44.21,11.48,26.23,12.56,75.95,19.93,32.72,19.88,52.07,13.77,24.54,95.38,56.22,24.44,23.58,29.31,41.75,33.41,34.12,11.52,30.16,20.4,22.76,16.0,17.37,5.18,10.23,76.04,44.88,66.07,37.51,28.77,48.49,32.84,10.93,6.46,5.89,15.17,62.04,33.75,46.2,17.35,36.81,19.85
2009-05-19,28.52,22.92,37.89,39.5,121.82,44.41,40.76,25.15,17.85,42.22,24.53,38.38,132.83,28.44,27.49,43.71,11.67,26.05,12.48,77.87,19.94,32.92,20.13,51.87,13.63,24.27,96.23,56.08,23.1,23.69,28.93,41.75,33.31,34.31,11.05,29.83,19.73,21.55,16.16,17.86,5.3,10.38,76.39,45.25,66.06,37.46,28.15,49.72,33.62,11.18,6.39,6.08,15.18,62.06,32.44,45.92,17.49,37.27,19.59
2009-05-20,28.7,22.17,38.13,39.46,120.31,44.8,40.44,25.41,17.91,42.38,24.55,38.44,128.4,28.31,27.13,43.34,11.73,26.11,12.49,77.97,19.72,33.2,20.28,51.61,13.51,24.8,94.9,55.52,22.2,23.57,27.9,42.26,32.98,34.66,11.28,29.34,19.28,20.85,16.45,17.93,5.09,10.35,75.85,46.17,67.65,37.36,27.87,49.98,31.87,10.81,6.47,6.21,14.96,61.26,31.3,47.95,17.23,37.95,20.01
2009-05-21,28.03,22.33,37.24,38.32,118.69,44.31,38.5,25.74,17.42,41.89,23.5,38.49,129.41,28.31,26.77,43.49,11.28,25.78,12.26,75.96,19.46,33.2,20.15,50.15,13.13,24.61,93.78,54.89,22.73,22.82,27.72,41.67,31.43,33.6,11.2,29.67,18.86,20.02,16.06,17.22,5.02,10.03,75.41,45.31,66.83,37.18,27.54,48.7,31.45,10.48,6.33,6.14,14.87,60.18,31.61,47.47,16.77,37.15,20.06
2009-05-22,27.86,21.64,37.06,38.01,117.09,44.38,37.65,25.6,17.36,42.19,23.29,38.93,128.64,28.4,26.59,43.62,11.16,25.79,12.37,75.64,19.46,33.06,20.41,49.72,12.92,24.55,92.93,54.87,22.06,23.21,27.61,41.56,30.34,33.53,10.87,28.02,18.74,20.0,16.54,17.17,4.95,9.99,74.9,45.32,66.8,37.39,28.34,48.7,31.38,10.5,6.37,6.1,14.98,60.57,31.17,48.65,16.59,37.07,20.31
2009-05-26,28.27,22.72,38.01,39.09,125.0,44.13,38.73,26.09,17.88,43.36,23.98,39.91,134.02,28.69,27.65,44.28,11.41,26.58,12.42,78.39,20.72,33.31,20.38,51.36,13.34,25.18,95.79,55.91,23.28,23.66,27.93,42.33,30.95,34.08,10.78,28.02,19.28,20.82,16.99,17.37,5.08,10.33,77.36,45.96,68.29,37.65,28.78,49.2,31.68,10.78,6.64,6.24,15.28,61.43,33.1,50.15,17.13,37.82,20.85
2009-05-27,27.91,21.73,37.68,38.57,127.17,43.04,38.88,26.05,17.69,42.17,23.59,38.66,132.1,28.13,27.1,43.68,11.07,25.56,12.12,77.1,19.89,32.98,20.12,49.7,12.99,24.57,93.88,54.98,21.86,23.03,27.11,41.62,30.99,32.86,10.71,27.36,19.01,20.41,16.97,17.6,5.03,9.86,76.47,44.25,67.08,37.01,28.01,48.72,31.56,10.76,6.46,6.1,14.94,60.11,31.39,49.29,16.88,37.04,20.23
